id,listing_url_num,last_scraped,host_since,host_duration,host_response_rate,is_response_rate_missing,host_acceptance_rate,is_acceptance_rate_missing,host_is_superhost,host_listings_count,log_host_listings_count,latitude,longitude,accommodates,log_accommodates,bedrooms,log_bedrooms,bathrooms_count,is_bath_shared,amenities,price,log_price,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,neigh_Yau Tsim Mong,neigh_Islands,neigh_Central & Western,neigh_Sai Kung,neigh_Wan Chai,neigh_Sham Shui Po,neigh_Eastern,neigh_Kowloon City,neigh_Yuen Long,neigh_Tai Po,neigh_Sha Tin,neigh_Southern,neigh_Wong Tai Sin,neigh_Kwun Tong,neigh_North,neigh_Tuen Mun,neigh_Kwai Tsing,neigh_Tsuen Wan,property_type_Entire rental unit,property_type_Private room in condo,property_type_Entire serviced apartment,property_type_Entire condo,property_type_Private room in hostel,property_type_Private room in rental unit,property_type_Private room in guesthouse,property_type_Private room in home,property_type_Room in hotel,property_type_Room in aparthotel,property_type_Shared room in hostel,property_type_Shared room in rental unit,property_type_Shared room,property_type_Room in boutique hotel,property_type_Entire loft,property_type_Entire villa,property_type_Private room in guest suite,property_type_Private room in townhouse,property_type_Entire guest suite,property_type_Private room in serviced apartment,property_type_Entire home,property_type_Entire guesthouse,property_type_Houseboat,property_type_Entire bungalow,property_type_Shared room in serviced apartment,property_type_Entire cottage,property_type_Private room in bungalow,property_type_Boat,property_type_Shared room in guesthouse,property_type_Tiny home,property_type_Private room in kezhan,property_type_Private room in bed and breakfast,property_type_Room in bed and breakfast,property_type_Private room,property_type_Private room in nature lodge,property_type_Private room in boat,property_type_Shared room in kezhan,property_type_Private room in minsu,property_type_Room in hostel,property_type_Shared room in condo,property_type_Private room in villa,property_type_Entire vacation home,property_type_Entire townhouse,property_type_Private room in cottage,property_type_Private room in houseboat,property_type_Shared room in guest suite,property_type_Hut,property_type_Entire cabin,property_type_Entire place,property_type_Private room in ryokan,property_type_Shared room in townhouse,property_type_Shared room in hotel,property_type_Private room in tiny home,property_type_Private room in riad,property_type_Private room in farm stay,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,room_type_Hotel room
23964053,23964053,2025-06-21,2016-12-14,3111,1,1,0.83,1,1,1,0,22.27778,114.17613,2,0.693147181,1,0,1,0,"[""Cooking basics"", ""Washer"", ""Extra pillows and blankets"", ""Hair dryer"", ""Wifi"", ""Lock on bedroom door"", ""Shampoo"", ""Microwave"", ""Hot water"", ""Stove"", ""Room-darkening shades"", ""Refrigerator"", ""Dishes and silverware"", ""Kitchen"", ""Rice maker"", ""Iron"", ""Clothing storage: closet"", ""Essentials"", ""Heating"", ""Bed linens"", ""Air conditioning"", ""TV"", ""Hangers"", ""Freezer"", ""Hot water kettle"", ""Host greets you""]",522.00 ,6.258,16,37,67,68,17,5,5,4.95,5,5,4.95,5,0,0.23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24054753,24054753,2025-06-21,2017-09-08,2843,1,1,1,1,0,2,0.693147181,22.27673,114.16936,1,0,1,0,1,0,"[""Elevator"", ""Iron"", ""Microwave"", ""Hangers"", ""Shower gel"", ""Hot water"", ""Lock on bedroom door"", ""Essentials"", ""Hair dryer"", ""Refrigerator"", ""Long term stays allowed"", ""Wifi"", ""Dishes and silverware"", ""Window AC unit"", ""Host greets you"", ""Shampoo""]",378.00 ,5.935,28,58,88,89,52,4.68,4.71,4.6,4.78,4.8,4.82,4.57,1,0.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24074943,24074943,2025-06-21,2013-09-21,4291,1,1,1,1,1,2,0.693147181,22.28403,114.13041,2,0.693147181,1,0,1,0,"[""Induction stove"", ""Cooking basics"", ""Free parking on premises"", ""Washer"", ""Extra pillows and blankets"", ""Hair dryer"", ""Wifi"", ""Shampoo"", ""Microwave"", ""Hot water"", ""Oven"", ""Refrigerator"", ""City skyline view"", ""Smoke alarm"", ""Dedicated workspace"", ""Dishes and silverware"", ""Kitchen"", ""Elevator"", ""Iron"", ""TV with Amazon Prime Video, standard cable, Netflix, Apple TV"", ""Essentials"", ""Garden view"", ""Heating"", ""Long term stays allowed"", ""Bed linens"", ""Air conditioning"", ""Hangers"", ""Coffee maker"", ""Dryer"", ""Single level home"", ""Host greets you""]",1000.00 ,6.908,3,5,6,179,71,4.97,4.97,4.97,4.96,5,4.97,4.88,0,0.84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24131401,24131401,2025-06-21,2012-06-28,4741,0.92,1,0.68,1,0,10,2.302585093,22.27839,114.18576,2,0.693147181,1,0,1.5,1,"[""Elevator"", ""Iron"", ""Washer"", ""TV"", ""Essentials"", ""Hair dryer"", ""Dryer"", ""Wifi"", ""Dishes and silverware"", ""Kitchen"", ""Shampoo"", ""Air conditioning""]",500.00 ,6.215,14,44,74,265,4,5,5,5,5,5,5,5,0,0.08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24167990,24167990,2025-06-22,2017-12-11,2750,1,1,1,1,1,26,3.258096538,22.30594,114.17085,3,1.098612289,1,0,1,0,"[""Elevator"", ""Microwave"", ""TV"", ""Hangers"", ""Shower gel"", ""Hot water"", ""Fire extinguisher"", ""Hair dryer"", ""Refrigerator"", ""Long term stays allowed"", ""Wifi"", ""Backyard"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Shampoo"", ""Air conditioning""]",284.00 ,5.649,1,10,17,201,74,4.79,4.82,4.74,4.86,4.84,4.93,4.79,1,1.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24213731,24213731,2025-06-22,2013-05-13,4423,1,1,1,1,0,14,2.63905733,22.31776,114.16872,3,1.098612289,N/A,N/A,0,1,"[""Private entrance"", ""Elevator"", ""Self check-in"", ""TV"", ""First aid kit"", ""Hangers"", ""Hot water"", ""Essentials"", ""Hair dryer"", ""Paid parking on premises"", ""Long term stays allowed"", ""Building staff"", ""Wifi"", ""Luggage dropoff allowed"", ""Fire extinguisher"", ""Shampoo"", ""Air conditioning""]",373.00 ,5.922,30,60,90,100,11,4.67,4.81,4.71,5,5,5,4.95,1,0.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24359951,24359951,2025-06-21,2015-07-13,3631,1,1,0.96,1,0,1,0,22.28631,114.14244,3,1.098612289,1,0,1,0,"[""Cooking basics"", ""Washer"", ""Extra pillows and blankets"", ""Clothing storage: closet, wardrobe, and dresser"", ""Toaster"", ""Drying rack for clothing"", ""Hair dryer"", ""Wifi"", ""Private entrance"", ""Hot water"", ""Stove"", ""Room-darkening shades"", ""Mini fridge"", ""Oven"", ""Private hot tub"", ""TV with standard cable"", ""Refrigerator"", ""Dining table"", ""Dishes and silverware"", ""Dedicated workspace"", ""Elevator"", ""Kitchen"", ""Blender"", ""Rice maker"", ""Iron"", ""Books and reading material"", ""Essentials"", ""Heating"", ""Long term stays allowed"", ""Bathtub"", ""Air conditioning"", ""Ethernet connection"", ""Hangers"", ""Wine glasses"", ""Freezer"", ""Coffee maker"", ""Hot water kettle"", ""Single level home"", ""Host greets you"", ""Window guards"", ""Laundromat nearby""]",692.00 ,6.54,9,37,62,192,28,4.39,4.57,4.43,4.75,4.5,4.86,4.32,0,0.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24379665,24379665,2025-06-22,2014-04-28,4073,0.92,1,0.46,1,0,125,4.828313737,22.28721,114.14759,2,0.693147181,N/A,N/A,1,0,"[""Cooking basics"", ""Self check-in"", ""Hair dryer"", ""Cleaning available during stay"", ""Wifi"", ""Shampoo"", ""Conditioner"", ""Microwave"", ""Hot water"", ""Portable heater"", ""Refrigerator"", ""Fire extinguisher"", ""Dedicated workspace"", ""Dishes and silverware"", ""Kitchen"", ""Elevator"", ""Shower gel"", ""Essentials"", ""Long term stays allowed"", ""Bed linens"", ""Air conditioning"", ""TV"", ""Hangers"", ""Keypad"", ""Free washer \u2013 In building"", ""Dryer"", ""Hot water kettle""]",641.00 ,6.463,29,59,89,364,4,4.25,5,4.75,4.25,3.75,4.5,3.75,0,0.11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24387333,24387333,2025-06-22,2014-04-28,4073,0.92,1,0.46,1,0,125,4.828313737,22.28653,114.15069,2,0.693147181,N/A,N/A,1,0,"[""Cooking basics"", ""Self check-in"", ""Dryer \u2013 In building"", ""Hair dryer"", ""Kitchenette"", ""Cleaning available during stay"", ""Wifi"", ""Shampoo"", ""Microwave"", ""Hot water"", ""Refrigerator"", ""Fire extinguisher"", ""Dedicated workspace"", ""Smoke alarm"", ""Dishes and silverware"", ""Elevator"", ""Clothing storage: closet"", ""Shower gel"", ""Essentials"", ""Heating"", ""Long term stays allowed"", ""Washer \u2013\u00a0In building"", ""Bed linens"", ""Air conditioning"", ""Body soap"", ""TV"", ""Electric stove"", ""Hangers"", ""Keypad"", ""Hot water kettle"", ""Carbon monoxide alarm""]",641.00 ,6.463,24,54,84,359,3,3.67,4.33,4,4.33,4.33,4.67,4.33,0,0.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24406334,24406334,2025-06-21,2018-04-13,2626,1,1,1,1,0,2,0.693147181,22.29331,114.27152,2,0.693147181,2,0.693147181,1,0,"[""Hair dryer"", ""Wifi"", ""Shampoo"", ""Paid parking off premises"", ""Microwave"", ""Hot water"", ""Oven"", ""Room-darkening shades"", ""Beach access \u2013 Beachfront"", ""Elevator"", ""Dishes and silverware"", ""Essentials"", ""Long term stays allowed"", ""Patio or balcony"", ""Luggage dropoff allowed"", ""Bed linens"", ""Bathtub"", ""Air conditioning"", ""Hangers"", ""Paid parking on premises""]",380.00 ,5.94,29,59,89,364,7,4.62,4.85,4.85,4.69,4.62,4.54,4.62,0,0.15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
