,bootstrap_iter,ARI
0,0,0.9314825799863737
1,1,0.9755225121811242
2,2,0.9809325551066826
3,3,0.9728294677012214
4,4,0.9567116707386993
5,5,0.9687749645081499
6,6,0.9607347485833628
7,7,0.9300777795935491
8,8,0.9714717256690851
9,9,0.9540478560078697
10,10,0.9674324576899987
11,11,0.9674035055901397
12,12,0.956677729539644
13,13,0.9728347070443866
14,14,0.9755069919975049
15,15,0.971452139888446
16,16,0.9714767061000139
17,17,0.9327883638766674
18,18,0.9863366226514039
19,19,0.9620537761021292
20,20,0.9634002332619225
21,21,0.974179826921577
22,22,0.9958988517077587
23,23,0.9701387519720791
24,24,0.9863694736190809
25,25,0.9701201021966389
26,26,0.9660965934638904
27,27,0.9822951746544707
28,28,0.9687863773672047
29,29,0.9741709191138855
30,30,0.9393669634006966
31,31,0.9367135689126993
32,32,0.9687863627791812
33,33,0.9393226667241027
34,34,0.9782304437285745
35,35,0.9620589530100462
36,36,0.9741559584010883
37,37,0.947335006166467
38,38,0.9473571176224747
39,39,0.983653160256179
40,40,0.9248193275467677
41,41,0.9755100267617071
42,42,0.9647289915003936
43,43,0.9580298951443247
44,44,0.9633860980840919
45,45,0.9755241631374739
46,46,0.974165287909865
47,47,0.9647438016657665
48,48,0.9553552077824183
49,49,0.9406825728837798
50,50,0.986361248456786
51,51,0.9195642453928395
52,52,0.9065156738219647
53,53,0.970100689898654
54,54,0.976875546858581
55,55,0.9013765982904092
56,56,0.9327179442495936
57,57,0.9327873661922135
58,58,0.9447063897402861
59,59,0.9620659365710963
60,60,0.8781367208186469
61,61,0.9755003638232069
62,62,0.9195362749657581
63,63,0.97822631805401
64,64,0.8922813397279648
65,65,0.928801783532108
66,66,0.9755021316557584
67,67,0.9660878053600904
68,68,0.9782049065818955
69,69,0.9782206706663357
70,70,0.9701266008398092
71,71,0.9741731486333097
72,72,0.9606827948595854
73,73,0.9592540902256829
74,74,0.9673979424593955
75,75,0.9768728591874654
76,76,0.959374892358645
77,77,0.9607077117340929
78,78,0.9809417838018023
79,79,0.9660574906014261
80,80,0.952672738401686
81,81,0.9687694566026765
82,82,0.9526586447357464
83,83,0.9863674102966031
84,84,0.966061270835879
85,85,0.8974698928466381
86,86,0.9513757657025952
87,87,0.951235378505558
88,88,0.9714787542474055
89,89,0.9795825572265683
90,90,0.9836465498296565
91,91,0.9728214340458797
92,92,0.9701225030323725
93,93,0.963360126797894
94,94,0.9169799657758427
95,95,0.9836457697201008
96,96,0.9728268006348346
97,97,0.9000590325739475
98,98,0.9945296839965388
99,99,0.9620530623297202
