,Profile_Category_Accessibility_Count,Profile_Category_Bathroom_Personal_Count,Profile_Category_Bedding_Comfort_Count,Profile_Category_Business_Work_Count,Profile_Category_Climate_Control_Count,Profile_Category_Essential_Tech_Count,Profile_Category_Kitchen_Dining_Count,Profile_Category_Outdoor_Recreation_Count,Profile_Category_Safety_Security_Count,Profile_Category_Transportation_Count,Profile_Category_Family_Pets_Count,price,log_price,longitude,latitude
2570,1,5,1,2,2,0,1,0,2,0,0,405.0,6.003887067106539,114.2132199,22.31658441
2571,0,4,3,1,2,1,9,0,1,0,1,1400.0,7.24422751560335,114.1694242,22.30349902
2572,1,5,3,2,1,1,7,0,0,0,1,894.0,6.795705775173514,114.1727656,22.27780939
2573,0,0,3,1,1,0,0,0,5,1,0,448.0,6.104793232414985,114.11099,22.37437
2574,0,3,0,2,2,1,7,0,1,1,1,706.0,6.559615237493242,114.1695956,22.31535357
2575,1,4,0,1,1,0,0,0,1,0,0,172.0,5.147494476813453,114.1703044,22.32409235
2576,0,0,0,1,1,1,1,0,2,0,0,900.0,6.802394763324311,114.1538673,22.2802297
2577,1,3,2,2,1,0,4,0,5,1,0,340.0,5.8289456176102075,114.1952024,22.29100157
2578,1,5,3,2,1,1,7,0,0,0,1,1042.0,6.948897222313312,114.1793316,22.27947389
2579,1,3,2,2,1,0,4,0,5,1,0,418.0,6.035481432524756,114.1951611,22.28894775
2580,1,5,2,1,1,0,2,0,4,0,0,173.0,5.153291594497779,114.175192,22.30509091
2581,1,1,0,1,1,0,5,0,5,1,0,323.0,5.777652323222656,114.1961511,22.29095349
2582,1,3,1,2,1,0,4,0,5,1,0,323.0,5.777652323222656,114.1967626,22.29020268
2583,1,3,2,2,1,0,4,0,5,1,0,295.0,5.68697535633982,114.19664,22.28908
2584,1,3,2,1,1,1,0,0,3,0,0,253.0,5.53338948872752,114.173,22.29873
2585,0,5,2,2,2,2,3,0,1,0,1,2823.0,7.945555428253489,114.168947,22.2981778
2586,1,3,2,1,1,1,0,0,3,0,0,246.0,5.5053315359323625,114.1708673,22.29872041
2587,1,2,3,2,2,0,6,0,0,0,0,1415.0,7.254884810077338,114.1709032,22.29597796
2588,1,5,5,3,2,1,5,3,5,1,1,1152.0,7.049254841255837,114.1673178,22.3242749
2589,0,4,4,3,0,2,6,1,3,0,1,810.0,6.697034247666484,114.1517924,22.28331071
2590,1,5,3,3,1,1,9,0,4,1,1,1208.0,7.0967213784947605,114.2041108,22.2911517
2591,0,0,0,1,0,1,0,0,1,0,0,393.0,5.973809611869261,114.1750618,22.29703333
2592,0,1,0,2,2,1,4,0,1,1,1,838.0,6.731018100482083,114.241955,22.33578
2593,1,4,1,1,1,1,0,0,5,0,0,388.0,5.961005339623274,114.1727538,22.29741496
2594,1,6,5,1,3,1,7,0,2,0,0,837.0,6.729824070489475,114.1472527,22.28792994
2595,0,6,4,3,1,0,7,1,3,0,1,309.0,5.733341276897746,114.15427,22.28325
2596,0,0,0,1,1,0,0,0,5,0,0,353.0,5.8664680569332965,114.17328,22.29669
2597,1,5,2,2,1,1,7,0,0,0,1,754.0,6.625392368007956,114.1814255,22.27782899
2598,0,4,5,2,1,1,5,0,0,0,0,541.0,6.293419278846481,114.1498224,22.2840649
2599,0,5,5,2,1,1,8,0,1,0,2,1058.0,6.964135612418245,114.17086,22.29718
2600,0,5,4,2,2,0,8,0,0,0,0,925.0,6.829793737512425,114.1419522,22.2858396
2601,0,3,1,2,2,0,1,1,0,0,1,323.0,5.777652323222656,114.0298826,22.43324011
2602,0,0,0,1,1,0,0,0,4,0,0,269.0,5.594711379601839,114.17141,22.29682
2603,1,5,3,1,1,2,9,3,4,0,3,1729.0,7.455298485683291,114.1834422,22.2817275
2604,0,0,0,1,1,0,0,0,5,0,0,329.0,5.796057750765372,114.171848,22.29611584
2605,1,6,5,1,2,1,8,3,2,1,1,2494.0,7.821643126239982,114.16629,22.24775
2606,0,5,5,0,2,0,7,4,1,0,1,239.0,5.476463551931511,114.11598,22.22955
2607,0,4,2,2,3,0,5,1,0,0,1,290.0,5.66988092298052,114.0273943,22.43080436
2608,1,4,3,2,1,2,3,1,4,0,0,373.0,5.921578419643816,114.1637937,22.33137845
2609,1,4,5,1,1,1,2,0,5,0,0,523.0,6.259581464064923,114.1742524,22.29685087
2610,0,1,0,1,1,1,1,0,0,0,0,575.0,6.354370040797351,114.1490179,22.28543722
2611,1,4,5,2,1,1,2,0,5,0,0,477.0,6.1675164908883415,114.17438,22.29682
2612,1,3,2,1,1,1,0,0,3,0,0,203.0,5.313205979041787,114.1708342,22.29724663
2613,1,6,5,2,2,1,7,0,1,0,0,850.0,6.745236349484363,114.1523,22.28098
2614,0,5,2,2,1,1,7,0,0,0,1,877.0,6.776506992372183,114.14192,22.28574
2615,0,5,4,2,0,1,1,0,1,0,0,690.0,6.536691597591305,114.15393,22.28278
2616,0,0,1,2,1,1,1,0,1,0,0,520.0,6.253828811575473,114.115984,22.229547
2617,0,5,4,2,1,2,9,0,1,0,0,800.0,6.684611727667927,114.1864792,22.26887077
